respondent_id,role,weekly_sessions,satisfaction,what_works_well,what_to_improve
R1,Student,5,4,The focus timer actually keeps me off my phone — that's the whole reason I use it.,It buzzes me with tips way too often. Ironic for a focus app.
R2,Designer,3,5,Love how clean and minimal it is. Nothing gets in my way.,I really want it to sync with my Google Calendar so sessions show up there.
R3,Developer,8,3,Blocking distracting sites during a sprint is gold.,Setup was confusing — I couldn't figure out how to add a blocklist for ages.
R4,Manager,2,4,Simple and does one thing well.,Needs a proper mobile app. The phone version feels like an afterthought.
R5,Student,6,4,Focus sessions help me stop doom-scrolling.,Too many notifications nudging me. Let me turn them off.
R6,Writer,4,5,The distraction blocker is the best part. I get far more writing done.,Please add calendar sync so I can plan my focus blocks.
R7,Developer,10,2,,Onboarding threw me straight in with no guidance. I almost gave up.
R8,Analyst,1,3,Clean interface and easy on the eyes.,I want it to connect with my to-do app so tasks pull in automatically.
R9,Student,7,4,Keeps me off social media during study time.,The notifications are constant and distracting.
R10,Designer,3,4,"Minimal, no clutter. I like that a lot.",Mobile experience is weak compared to desktop.
R11,Teacher,5,5,Site blocking during class prep genuinely saves me.,Setup instructions were unclear — took a lot of trial and error.
R12,Developer,9,3,Great for deep-work sprints with sites blocked.,"Add integrations — Notion, Todoist, calendar, anything."
R13,Marketer,2,4,It's refreshingly simple.,Wish the mobile app matched the desktop features.
R14,Student,6,4,Helps me focus and stop checking my phone every minute.,Way too many pop-up tips. It's counterproductive.
R15,Founder,4,5,Blocks my biggest distractions instantly.,Onboarding could explain the features better — I missed half of them.
R16,Designer,3,5,Love the clean minimal design.,Calendar sync would make it perfect.
